uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link,idx
16239,One Piece: Episode of Luffy - Hand Island no Bouken,"The story of the Hand Island no Bouken special is set a little before the events of One Piece Film Z and depicts a major ""Hand Island"" incident during the New World storyline. The story is set at ""Cannon Town"" where a parent and a child work as craftspeople. The incident revolves around them and a commodore of a marine base. The special will also have a flashback scene to the story in the first chapter of the manga, but with new animation.  
 
(Source: ANN) ","['Action', 'Adventure', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']","Dec 15, 2012",1.0,33542,2414,1047.0,7.74,https://cdn.myanimelist.net/images/anime/8/52463.jpg,https://myanimelist.net/anime/16239/One_Piece__Episode_of_Luffy_-_Hand_Island_no_Bouken,2660
30347,Nanatsu no Taizai OVA,"OVA bundled with the 15th and 16th volume of the manga. 
 
15th volume DVD will feature the sin of greed as the central character. 
 
16th volume DVD will feature side stories of the main characters in omnibus format. 
 
(Source: MAL News)","['Action', 'Adventure', 'Supernatural', 'Magic', 'Fantasy', 'Shounen']","Jun 17, 2015 to Aug 12, 2015",2.0,101485,1089,1046.0,7.74,https://cdn.myanimelist.net/images/anime/1973/97505.jpg,https://myanimelist.net/anime/30347/Nanatsu_no_Taizai_OVA,1017
10620,Mirai Nikki,"Lonely high school student, Yukiteru Amano, spends his days writing a diary on his cellphone, while conversing with his two seemingly imaginary friends Deus Ex Machina, who is the god of time and space, and Murmur, the god's servant. Revealing himself to be an actual entity, Deus grants Yukiteru a ""Random Diary,"" which shows highly descriptive entries based on the future and forces him into a bloody battle royale with 11 other holders of similarly powerful future diaries. 
 
With the last person standing designated as the new god of time and space, Yukiteru must find and kill the other 11 in order to survive. He reluctantly teams up with his obsessive stalker Yuno Gasai (who also possesses such a diary), and she takes it upon herself to ensure his safety. But there's more to the girl than meets the eye, as she might have other plans for her unrequited love... 
 
[Written by MAL Rewrite]","['Action', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Thriller']","Oct 9, 2011 to Apr 15, 2012",26.0,1205275,13,1043.0,7.74,https://cdn.myanimelist.net/images/anime/13/33465.jpg,https://myanimelist.net/anime/10620/Mirai_Nikki,134
32268,Koyomimonogatari,"Whether it is investigating stone shrines, tracking rumors, or simply playing hide and seek, Koyomi Araragi is always there to fulfill the requests of his friends from both the human and supernatural worlds.  Koyomimonogatari  tells a series of short stories involving Koyomi as he helps each of the girls in his cohort solve a mystery or kill some time, alongside previously unexplored problems in this essential prelude to his story's last chapter. 
 
[Written by MAL Rewrite]","['Comedy', 'Mystery', 'Supernatural']","Jan 10, 2016 to Mar 27, 2016",12.0,135107,839,1041.0,7.74,https://cdn.myanimelist.net/images/anime/2/77744.jpg,https://myanimelist.net/anime/32268/Koyomimonogatari,25
22125,Kuroko no Basket: Mou Ikkai Yarimasen ka,"Bundled with the 6 Blu-ray/DVD. It will adapt the 124th chapter of the manga, which depicts when Kuroko and Aomine first met.","['Comedy', 'School', 'Shounen', 'Sports']","Jun 20, 2014",1.0,31687,2494,1042.0,7.74,https://cdn.myanimelist.net/images/anime/12/68055.jpg,https://myanimelist.net/anime/22125/Kuroko_no_Basket__Mou_Ikkai_Yarimasen_ka,1516
18619,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!,"After a brilliant victory over Saunders University High School, girls from Ooarai now have to face Italian-themed Anzio Girls High School in the second round of the 63rd National High School Sensha-Dou Tournament. The high-spirited girls from Anzio, led by the charismatic Chiyomi Anzai, advance toward the battle equipped with baffling tactics and a secret weapon. 
 
Ooarai will soon find out that what seemed to be a mere formality might take an unexpected and possibly disastrous turn. Whether they will win the match, or lose and doom their school to a closure, is still on a knife-edge. 
 
[Written by MAL Rewrite] 
","['Military', 'School', 'Sports']","Jul 25, 2014",1.0,29935,2578,1037.0,7.74,https://cdn.myanimelist.net/images/anime/1959/92804.jpg,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_Desu,2160
2471,Doraemon (1979),"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. 
 
To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? 
 
[Written by MAL Rewrite]","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']","Apr 2, 1979 to Mar 18, 2005",1787.0,26513,2750,1036.0,7.74,https://cdn.myanimelist.net/images/anime/3/3953.jpg,https://myanimelist.net/anime/2471/Doraemon_1979,2622
530,Bishoujo Senshi Sailor Moon,"Usagi Tsukino is an average student and crybaby klutz who constantly scores low on her tests. Unexpectedly, her humdrum life is turned upside down when she saves a cat with a crescent moon on its head from danger. The cat, named Luna, later reveals that their meeting was not an accident: Usagi is destined to become Sailor Moon, a planetary guardian with the power to protect the Earth. Given a special brooch that allows her to transform, she must use her new powers to save the city from evil energy-stealing monsters sent by the malevolent Queen Beryl of the Dark Kingdom. 
 
But getting accustomed to her powers and fighting villains are not the only things she has to worry about. She must find the lost princess of the Moon Kingdom, the other Sailor Guardians, and the Legendary Silver Crystal in order to save the planet from destruction. 
 
[Written by MAL Rewrite] 
","['Demons', 'Magic', 'Romance', 'Shoujo']","Mar 7, 1992 to Feb 27, 1993",46.0,219238,485,1032.0,7.74,https://cdn.myanimelist.net/images/anime/1440/92258.jpg,https://myanimelist.net/anime/530/Bishoujo_Senshi_Sailor_Moon,429
11737,Ao no Exorcist Movie,"The atmosphere in True Cross Academy is lively and boisterous in the days leading up to the grand festival held once every 11 years. During this time, Okumura Rin is entrusted with the responsibility of suppressing the berserk Phantom Train. In the midst of his mission, he meets a devil whose appearance is that of a young boy. 
 
(Source: Official Site)","['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']","Dec 28, 2012",1.0,176312,612,1031.0,7.74,https://cdn.myanimelist.net/images/anime/7/42005.jpg,https://myanimelist.net/anime/11737/Ao_no_Exorcist_Movie,329
9919,Ao no Exorcist,"Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king. 
 
 Ao no Exorcist  follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio. 
 
[Written by MAL Rewrite]","['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']","Apr 17, 2011 to Oct 2, 2011",25.0,1085158,17,1030.0,7.74,https://cdn.myanimelist.net/images/anime/10/75195.jpg,https://myanimelist.net/anime/9919/Ao_no_Exorcist,330
